英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
say,/seɪ/,v. 【常见】说；讲；表明；声称,原生基础词，古英语 secgan，无词根拆分,What did you say?,你刚才说什么？
hey,/heɪ/,int. 【常见】嘿；喂（引起注意或打招呼）,原生基础词，拟声词，无词根拆分,"Hey, wait for me!",嘿，等等我！
could,/kʊd/,aux. 【常见】能；可以；可能（can 的过去式）,原生基础词，古英语 cūþe（can的过去式），无词根拆分,I could swim when I was five.,我五岁时就会游泳。
'd,/d/,【常见】would (will 的过去式；将要，会) 或 had (have 的过去式、过去分词；拥有，持有) 的缩略形式（I'd = I would/I had）,原生基础词，would/had的缩略形式，无词根拆分,I'd like to go with you.,我想和你一起去。
didn,/ˈdɪdnt/,【常见】没有；未； did not 的缩略形式（didn't = did not）,did（do的过去式）+ not（不）的缩略形式，无词根拆分,I didn't see him.,我没看见他。
by,/baɪ/,prep. 【常见】在…旁；通过；被；adv. 【常见】在近旁；经过,原生基础词，古英语 bī，无词根拆分,The book was written by him.,这本书是他写的。
need,/niːd/,v. 【常见】需要；必须；n. 【常见】需要；需求,原生基础词，古英语 nēod，无词根拆分,I need your help.,我需要你的帮助。
something,/ˈsʌmθɪŋ/,pron. 【常见】某事；某物；重要的人/事,some（一些）+ thing（东西）,I have something to tell you.,我有事要告诉你。
has,/hæz/,v. 【常见】有（have 的第三人称单数现在式）,原生基础词，古英语 hæfþ（have的第三人称），无词根拆分,She has a new car.,她有一辆新车。
too,/tuː/,adv. 【常见】太；过于；也；而且,原生基础词，古英语 tō，无词根拆分,It's too late.,太晚了。
more,/mɔː(r)/,adj. 【常见】更多的；adv. 【常见】更；更加；n. 【常见】更多,原生基础词，古英语 māra，无词根拆分,I need more time.,我需要更多时间。
way,/weɪ/,n. 【常见】路；方式；方向；adv. 【常见】远远地,原生基础词，古英语 weg，无词根拆分,This is the way to school.,这是去学校的路。
down,/daʊn/,adv. 【常见】向下；在下面；prep. 【常见】沿着…向下；adj. 【常见】向下的,原生基础词，古英语 dūne（向下），无词根拆分,Please sit down.,请坐下。
make,/meɪk/,v. 【常见】制造；做；使；成为,原生基础词，古英语 macian，无词根拆分,She makes coffee every morning.,她每天早上煮咖啡。
very,/ˈveri/,adv. 【常见】非常；很；adj. 【常见】正是的；恰好的,原生基础词，古英语 fǣr（真的），无词根拆分,I am very tired.,我很累。
never,/ˈnevə(r)/,adv. 【常见】从不；绝不；从来没有,原生基础词，古英语 nǣfre（ne+ǣfre），无词根拆分,I have never been to Japan.,我从没去过日本。
only,/ˈəʊnli/,adv. 【常见】只；仅仅；adj. 【常见】唯一的；仅有的,one（一）+ 后缀-ly（副词/形容词后缀）,I only have one brother.,我只有一个兄弟。
people,/ˈpiːpl/,n. 【常见】人；人们；人民；民族；v. 【常见】居住在…上,原生基础词，源自拉丁语 populus（人民），无词根拆分,Many people came to the party.,许多人来参加了聚会。
over,/ˈəʊvə(r)/,prep. 【常见】在…上方；超过；关于；adv. 【常见】结束；超过；adj. 【常见】结束的,原生基础词，古英语 ofer，无词根拆分,The game is over.,比赛结束了。
because,/bɪˈkɒz/,conj. 【常见】因为,be（由）+ cause（原因），古英语 for þȳ þe,I stayed home because it rained.,我呆在家里因为下雨了。
